file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/HybridStreaming.java,org.apache.poi.xssf.streaming.examples.HybridStreaming,class,6,2,1,4,1,2,2,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,29,1,0,0,1,0,2,0,4,0,4,1,2,0,0,75,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/HybridStreaming.java,org.apache.poi.xssf.streaming.examples.HybridStreaming$Anonymous1,anonymous,2,2,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,-1
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/HybridStreaming.java,org.apache.poi.xssf.streaming.examples.HybridStreaming$Anonymous2,anonymous,1,3,1,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/SavePasswordProtectedXlsx.java,org.apache.poi.xssf.streaming.examples.SavePasswordProtectedXlsx,class,10,6,1,19,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,49,0,3,1,3,0,4,9,15,2,15,4,0,0,0,80,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/Outlining.java,org.apache.poi.xssf.streaming.examples.Outlining,class,3,3,1,7,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,0,2,0,2,8,6,0,6,2,0,0,0,24,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/XLSX2CSV.java,org.apache.poi.xssf.eventusermodel.XLSX2CSV$SheetToCSV,subclass,5,11,1,6,0,4,0,3,1,0,0,0,0,0,3,0,0,3,0,0,0,0,1,51,0,4,1,1,1,0,8,14,2,9,2,0,0,0,60,2
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/XLSX2CSV.java,org.apache.poi.xssf.eventusermodel.XLSX2CSV,class,14,9,1,17,2,4,1,4,0,0,0,0,0,0,3,0,0,3,0,0,3,0,1,108,2,1,0,3,0,6,6,19,3,18,2,0,1,0,206,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/examples/FromHowTo.java,org.apache.poi.xssf.eventusermodel.examples.FromHowTo,class,8,5,2,14,6,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1,1,0,4,0,1,2,16,0,16,3,0,1,0,91,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/examples/FromHowTo.java,org.apache.poi.xssf.eventusermodel.examples.FromHowTo$SheetHandler$LruCache,subclass,2,2,4,1,0,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,0,2,1,1,1,0,0,0,0,8,10
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/examples/FromHowTo.java,org.apache.poi.xssf.eventusermodel.examples.FromHowTo$SheetHandler,subclass,6,11,5,10,0,4,0,3,1,0,0,0,0,0,5,0,0,5,0,0,2,0,1,46,0,0,3,0,1,9,1,11,1,7,2,0,1,0,46,10
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/examples/LoadPasswordProtectedXlsxStreaming.java,org.apache.poi.xssf.eventusermodel.examples.LoadPasswordProtectedXlsxStreaming,class,5,4,1,9,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,0,1,1,2,0,2,4,9,1,9,2,0,0,0,64,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/usermodel/examples/CreateCell.java,org.apache.poi.xssf.usermodel.examples.CreateCell,class,8,1,1,17,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,2,0,8,11,10,0,9,2,0,0,0,49,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/usermodel/examples/NewLinesInCells.java,org.apache.poi.xssf.usermodel.examples.NewLinesInCells,class,5,1,1,11,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0,2,4,6,1,6,2,0,0,0,40,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/usermodel/examples/SplitAndFreezePanes.java,org.apache.poi.xssf.usermodel.examples.SplitAndFreezePanes,class,2,1,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,2,0,5,14,6,0,6,2,0,0,0,31,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/usermodel/examples/ExcelChartWithTargetLine.java,org.apache.poi.xssf.usermodel.examples.ExcelChartWithTargetLine,class,25,12,1,41,1,3,3,1,2,0,0,0,0,0,1,1,0,1,0,0,1,0,2,111,2,4,0,2,0,6,71,40,1,38,3,0,0,0,133,0
/projects3/poi/src/examples/src/org/apache/poi/xssf/usermodel/examples/SelectedSheet.java,org.apache.poi.xssf.usermodel.examples.SelectedSheet,class,2,1,1,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,4,1,3,0,3,2,0,0,0,20,1025
/projects3/poi/src/examples/src/org/apache/poi/xssf/usermodel/examples/WorkingWithRichText.java,org.apache.poi.xssf.usermodel.examples.WorkingWithRichText,class,7,1,1,14,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,2,0,3,15,9,0,9,2,0,0,0,44,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/usermodel/examples/CustomXMLMapping.java,org.apache.poi.xssf.usermodel.examples.CustomXMLMapping,class,2,2,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1,0,1,1,5,0,5,2,0,0,0,38,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/usermodel/examples/CreatePivotTable.java,org.apache.poi.xssf.usermodel.examples.CreatePivotTable,class,8,2,1,10,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,0,0,0,2,0,13,30,26,0,26,2,0,0,0,49,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/usermodel/examples/MergingCells.java,org.apache.poi.xssf.usermodel.examples.MergingCells,class,6,1,1,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,3,6,5,0,5,2,0,0,0,38,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/usermodel/examples/WorkingWithBorders.java,org.apache.poi.xssf.usermodel.examples.WorkingWithBorders,class,5,1,1,16,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2,0,2,3,6,0,6,2,0,0,0,28,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/usermodel/examples/CellComments.java,org.apache.poi.xssf.usermodel.examples.CellComments,class,10,1,1,21,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,2,0,9,5,13,0,13,2,0,0,0,67,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/usermodel/examples/EmbeddedObjects.java,org.apache.poi.xssf.usermodel.examples.EmbeddedObjects,class,6,8,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,1,0,2,0,6,1,10,0,4,4,0,0,0,38,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/usermodel/examples/WorkingWithPictures.java,org.apache.poi.xssf.usermodel.examples.WorkingWithPictures,class,8,2,1,12,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,2,0,2,4,12,0,11,2,0,0,0,45,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/usermodel/examples/LoadPasswordProtectedXlsx.java,org.apache.poi.xssf.usermodel.examples.LoadPasswordProtectedXlsx,class,4,3,1,7,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,1,2,0,2,3,7,1,7,1,0,0,0,55,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/usermodel/examples/CreateUserDefinedDataFormats.java,org.apache.poi.xssf.usermodel.examples.CreateUserDefinedDataFormats,class,6,1,1,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,2,0,4,4,12,0,9,2,0,0,0,39,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/usermodel/examples/WorkingWithFonts.java,org.apache.poi.xssf.usermodel.examples.WorkingWithFonts,class,5,1,1,13,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,2,0,13,16,21,0,21,2,0,0,0,43,1
