file,class,method,variable,usage
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/XLSX2CSV.java,org.apache.poi.xssf.eventusermodel.XLSX2CSV$SheetToCSV,startRow/1[int],currentCol,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/XLSX2CSV.java,org.apache.poi.xssf.eventusermodel.XLSX2CSV$SheetToCSV,startRow/1[int],firstCellOfRow,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/XLSX2CSV.java,org.apache.poi.xssf.eventusermodel.XLSX2CSV$SheetToCSV,startRow/1[int],currentRow,2
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/XLSX2CSV.java,org.apache.poi.xssf.eventusermodel.XLSX2CSV$SheetToCSV,"cell/3[java.lang.String,java.lang.String,org.apache.poi.xssf.eventusermodel.XSSFComment]",currentCol,3
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/XLSX2CSV.java,org.apache.poi.xssf.eventusermodel.XLSX2CSV$SheetToCSV,"cell/3[java.lang.String,java.lang.String,org.apache.poi.xssf.eventusermodel.XSSFComment]",firstCellOfRow,2
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/XLSX2CSV.java,org.apache.poi.xssf.eventusermodel.XLSX2CSV$SheetToCSV,"cell/3[java.lang.String,java.lang.String,org.apache.poi.xssf.eventusermodel.XSSFComment]",currentRow,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/XLSX2CSV.java,org.apache.poi.xssf.eventusermodel.XLSX2CSV$SheetToCSV,endRow/1[int],currentCol,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/XLSX2CSV.java,org.apache.poi.xssf.eventusermodel.XLSX2CSV,process/0,output,2
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/XLSX2CSV.java,org.apache.poi.xssf.eventusermodel.XLSX2CSV,process/0,xlsxPackage,2
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/XLSX2CSV.java,org.apache.poi.xssf.eventusermodel.XLSX2CSV,"XLSX2CSV/3[org.apache.poi.xssf.eventusermodel.OPCPackage,java.io.PrintStream,int]",output,3
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/XLSX2CSV.java,org.apache.poi.xssf.eventusermodel.XLSX2CSV,"XLSX2CSV/3[org.apache.poi.xssf.eventusermodel.OPCPackage,java.io.PrintStream,int]",xlsxPackage,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/XLSX2CSV.java,org.apache.poi.xssf.eventusermodel.XLSX2CSV,"XLSX2CSV/3[org.apache.poi.xssf.eventusermodel.OPCPackage,java.io.PrintStream,int]",minColumns,3
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/examples/FromHowTo.java,org.apache.poi.xssf.eventusermodel.examples.FromHowTo$SheetHandler$LruCache,"removeEldestEntry/1[java.util.Map.Entry<A,B>]",maxEntries,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/examples/FromHowTo.java,org.apache.poi.xssf.eventusermodel.examples.FromHowTo$SheetHandler$LruCache,LruCache/1[int],maxEntries,4
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/examples/FromHowTo.java,org.apache.poi.xssf.eventusermodel.examples.FromHowTo$SheetHandler,"characters/3[char[],int,int]",lastContents,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/examples/FromHowTo.java,org.apache.poi.xssf.eventusermodel.examples.FromHowTo$SheetHandler,"endElement/3[java.lang.String,java.lang.String,java.lang.String]",lastContents,6
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/examples/FromHowTo.java,org.apache.poi.xssf.eventusermodel.examples.FromHowTo$SheetHandler,"endElement/3[java.lang.String,java.lang.String,java.lang.String]",nextIsString,2
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/examples/FromHowTo.java,org.apache.poi.xssf.eventusermodel.examples.FromHowTo$SheetHandler,"endElement/3[java.lang.String,java.lang.String,java.lang.String]",sst,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/eventusermodel/examples/FromHowTo.java,org.apache.poi.xssf.eventusermodel.examples.FromHowTo$SheetHandler,"endElement/3[java.lang.String,java.lang.String,java.lang.String]",inlineStr,1
