file,class,method,constructor,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/HybridStreaming.java,org.apache.poi.xssf.streaming.examples.HybridStreaming,createSheetContentsHandler/0,false,62,2,1,0,11,1,0,0,62,0,0,0,0,0,0,0,0,0,1,0,0,15,10
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/HybridStreaming.java,org.apache.poi.xssf.streaming.examples.HybridStreaming,main/1[java.lang.String[]],false,41,4,1,4,15,0,3,1,41,0,0,1,0,1,0,3,0,1,1,0,0,34,9
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/HybridStreaming.java,org.apache.poi.xssf.streaming.examples.HybridStreaming$Anonymous1,"parseSheet/2[java.util.Map<java.lang.String,org.apache.poi.xssf.streaming.examples.XSSFSheet>,org.apache.poi.xssf.streaming.examples.CTSheet]",false,48,2,2,3,5,0,0,2,48,0,0,0,0,0,0,0,0,1,0,0,0,10,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/HybridStreaming.java,org.apache.poi.xssf.streaming.examples.HybridStreaming$Anonymous2,"cell/3[java.lang.String,java.lang.String,org.apache.poi.xssf.streaming.examples.XSSFComment]",false,74,1,1,0,2,0,0,3,74,0,0,0,0,0,0,0,0,0,0,0,0,2,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/HybridStreaming.java,org.apache.poi.xssf.streaming.examples.HybridStreaming$Anonymous2,endRow/1[int],false,70,0,1,0,2,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,0,4,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/HybridStreaming.java,org.apache.poi.xssf.streaming.examples.HybridStreaming$Anonymous2,startRow/1[int],false,66,0,1,0,2,0,0,1,66,0,0,0,0,0,0,0,0,0,0,0,0,4,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/SavePasswordProtectedXlsx.java,org.apache.poi.xssf.streaming.examples.SavePasswordProtectedXlsx,main/1[java.lang.String[]],false,51,7,5,12,35,0,10,1,51,3,1,2,0,4,9,10,2,4,0,0,0,32,9
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/SavePasswordProtectedXlsx.java,org.apache.poi.xssf.streaming.examples.SavePasswordProtectedXlsx,"save/3[java.io.InputStream,java.lang.String,java.lang.String]",false,86,3,1,7,12,0,5,3,86,0,0,1,0,0,0,5,0,1,0,0,0,27,9
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/Outlining.java,org.apache.poi.xssf.streaming.examples.Outlining,collapseRow/0,false,33,2,2,6,18,0,5,0,33,1,0,2,0,2,8,5,0,2,0,0,0,20,2
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/Outlining.java,org.apache.poi.xssf.streaming.examples.Outlining,main/1[java.lang.String[]],false,28,1,1,1,4,0,1,1,28,0,0,0,0,0,0,1,0,0,0,0,0,7,9
