file,class,method,variable,usage
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/HybridStreaming.java,org.apache.poi.xssf.streaming.examples.HybridStreaming,main/1[java.lang.String[]],args,0
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/HybridStreaming.java,org.apache.poi.xssf.streaming.examples.HybridStreaming,main/1[java.lang.String[]],workbook,3
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/HybridStreaming.java,org.apache.poi.xssf.streaming.examples.HybridStreaming,main/1[java.lang.String[]],strings,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/HybridStreaming.java,org.apache.poi.xssf.streaming.examples.HybridStreaming,main/1[java.lang.String[]],sourceBytes,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/HybridStreaming.java,org.apache.poi.xssf.streaming.examples.HybridStreaming$Anonymous1,"parseSheet/2[java.util.Map<java.lang.String,org.apache.poi.xssf.streaming.examples.XSSFSheet>,org.apache.poi.xssf.streaming.examples.CTSheet]",ctSheet,2
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/HybridStreaming.java,org.apache.poi.xssf.streaming.examples.HybridStreaming$Anonymous1,"parseSheet/2[java.util.Map<java.lang.String,org.apache.poi.xssf.streaming.examples.XSSFSheet>,org.apache.poi.xssf.streaming.examples.CTSheet]",shIdMap,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/HybridStreaming.java,org.apache.poi.xssf.streaming.examples.HybridStreaming$Anonymous2,"cell/3[java.lang.String,java.lang.String,org.apache.poi.xssf.streaming.examples.XSSFComment]",formattedValue,0
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/HybridStreaming.java,org.apache.poi.xssf.streaming.examples.HybridStreaming$Anonymous2,"cell/3[java.lang.String,java.lang.String,org.apache.poi.xssf.streaming.examples.XSSFComment]",comment,0
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/HybridStreaming.java,org.apache.poi.xssf.streaming.examples.HybridStreaming$Anonymous2,"cell/3[java.lang.String,java.lang.String,org.apache.poi.xssf.streaming.examples.XSSFComment]",cellReference,0
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/HybridStreaming.java,org.apache.poi.xssf.streaming.examples.HybridStreaming$Anonymous2,endRow/1[int],rowNum,0
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/HybridStreaming.java,org.apache.poi.xssf.streaming.examples.HybridStreaming$Anonymous2,startRow/1[int],rowNum,0
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/SavePasswordProtectedXlsx.java,org.apache.poi.xssf.streaming.examples.SavePasswordProtectedXlsx,main/1[java.lang.String[]],args,3
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/SavePasswordProtectedXlsx.java,org.apache.poi.xssf.streaming.examples.SavePasswordProtectedXlsx,main/1[java.lang.String[]],password,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/SavePasswordProtectedXlsx.java,org.apache.poi.xssf.streaming.examples.SavePasswordProtectedXlsx,main/1[java.lang.String[]],r,3
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/SavePasswordProtectedXlsx.java,org.apache.poi.xssf.streaming.examples.SavePasswordProtectedXlsx,main/1[java.lang.String[]],filename,2
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/SavePasswordProtectedXlsx.java,org.apache.poi.xssf.streaming.examples.SavePasswordProtectedXlsx,main/1[java.lang.String[]],c,3
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/SavePasswordProtectedXlsx.java,org.apache.poi.xssf.streaming.examples.SavePasswordProtectedXlsx,main/1[java.lang.String[]],tempData,3
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/SavePasswordProtectedXlsx.java,org.apache.poi.xssf.streaming.examples.SavePasswordProtectedXlsx,main/1[java.lang.String[]],i,3
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/SavePasswordProtectedXlsx.java,org.apache.poi.xssf.streaming.examples.SavePasswordProtectedXlsx,main/1[java.lang.String[]],sheet,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/SavePasswordProtectedXlsx.java,org.apache.poi.xssf.streaming.examples.SavePasswordProtectedXlsx,main/1[java.lang.String[]],wb,4
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/SavePasswordProtectedXlsx.java,org.apache.poi.xssf.streaming.examples.SavePasswordProtectedXlsx,main/1[java.lang.String[]],row,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/SavePasswordProtectedXlsx.java,org.apache.poi.xssf.streaming.examples.SavePasswordProtectedXlsx,main/1[java.lang.String[]],cell,1
/projects3/poi/src/examples/src/org/apache/poi/xssf/streaming/examples/SavePasswordProtectedXlsx.java,org.apache.poi.xssf.streaming.examples.SavePasswordProtectedXlsx,"save/3[java.io.InputStream,java.lang.String,java.lang.String]",filename,1
