file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
/projects3/poi/src/excelant/java/org/apache/poi/ss/excelant/ExcelAntTest.java,org.apache.poi.ss.excelant.ExcelAntTest,class,11,32,2,26,92,17,0,15,1,1,0,0,0,0,9,0,0,8,0,1,0,0,0,117,4,2,0,1,0,25,3,18,6,17,5,0,0,0,118,1
/projects3/poi/src/excelant/java/org/apache/poi/ss/excelant/ExcelAntTask.java,org.apache.poi.ss.excelant.ExcelAntTask,class,8,19,2,23,12,8,0,7,1,0,0,0,0,0,7,1,1,6,0,0,1,0,5,89,0,2,2,2,0,17,4,15,6,12,3,0,0,0,90,1
/projects3/poi/src/excelant/java/org/apache/poi/ss/excelant/ExcelAntSetFormulaCell.java,org.apache.poi.ss.excelant.ExcelAntSetFormulaCell,class,2,4,3,2,0,4,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,15,1,0,0,0,0,2,0,1,1,1,0,0,0,0,42,1
/projects3/poi/src/excelant/java/org/apache/poi/ss/excelant/ExcelAntEvaluateCell.java,org.apache.poi.ss.excelant.ExcelAntEvaluateCell,class,4,18,2,8,77,15,0,8,0,7,0,0,0,0,8,0,0,8,0,0,0,0,0,77,8,0,0,0,0,11,2,9,4,9,2,0,0,0,85,1
/projects3/poi/src/excelant/java/org/apache/poi/ss/excelant/ExcelAntUserDefinedFunction.java,org.apache.poi.ss.excelant.ExcelAntUserDefinedFunction,class,1,6,2,1,6,5,0,3,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,21,3,0,1,0,0,0,0,2,0,2,1,0,0,0,39,1
/projects3/poi/src/excelant/java/org/apache/poi/ss/excelant/IExcelAntWorkbookHandler.java,org.apache.poi.ss.excelant.IExcelAntWorkbookHandler,interface,1,2,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,75,1
/projects3/poi/src/excelant/java/org/apache/poi/ss/excelant/ExcelAntSetDoubleCell.java,org.apache.poi.ss.excelant.ExcelAntSetDoubleCell,class,2,4,3,2,0,4,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,15,1,0,0,0,0,3,0,1,1,1,0,0,0,0,57,1
/projects3/poi/src/excelant/java/org/apache/poi/ss/excelant/ExcelAntPrecision.java,org.apache.poi.ss.excelant.ExcelAntPrecision,class,1,2,2,0,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,20,1
/projects3/poi/src/excelant/java/org/apache/poi/ss/excelant/ExcelAntSet.java,org.apache.poi.ss.excelant.ExcelAntSet,class,2,3,2,0,1,3,0,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,13,1,0,0,0,0,0,0,2,0,2,0,0,0,0,24,1025
/projects3/poi/src/excelant/java/org/apache/poi/ss/excelant/ExcelAntSetStringCell.java,org.apache.poi.ss.excelant.ExcelAntSetStringCell,class,2,4,3,2,0,4,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,15,1,0,0,0,0,3,0,1,1,1,0,0,0,0,58,1
/projects3/poi/src/excelant/java/org/apache/poi/ss/excelant/util/ExcelAntWorkbookUtil.java,org.apache.poi.ss.excelant.util.ExcelAntWorkbookUtil,class,19,32,2,39,105,18,0,11,2,5,0,0,0,0,3,0,0,3,0,0,1,0,3,151,10,2,5,3,0,17,6,47,9,34,2,0,0,0,214,1
/projects3/poi/src/excelant/java/org/apache/poi/ss/excelant/util/ExcelAntEvaluationResult.java,org.apache.poi.ss.excelant.util.ExcelAntEvaluationResult,class,0,8,1,0,2,8,0,8,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,37,7,0,0,0,0,7,0,6,1,6,0,0,0,0,78,1
/projects3/poi/src/excelant/java/org/apache/poi/ss/excelant/util/ExcelAntWorkbookUtilFactory.java,org.apache.poi.ss.excelant.util.ExcelAntWorkbookUtilFactory,class,1,4,1,3,1,2,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,16,2,0,1,0,0,0,0,2,0,2,1,0,0,0,69,17
/projects3/poi/src/excelant/java/org/apache/poi/ss/excelant/ExcelAntHandlerTask.java,org.apache.poi.ss.excelant.ExcelAntHandlerTask,class,4,5,2,7,0,3,0,2,0,1,0,0,0,0,2,0,0,2,0,0,0,0,1,25,0,0,0,1,0,1,0,5,1,5,2,0,0,0,107,1
