file,class,method,variable,usage
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestExcelAntSet.java,org.apache.poi.ss.excelant.TestExcelAntSet,testSetWorkbookUtil/0,fixture,1
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestExcelAntSet.java,org.apache.poi.ss.excelant.TestExcelAntSet,testSetWorkbookUtil/0,mortgageCalculatorFileName,1
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestExcelAntSet.java,org.apache.poi.ss.excelant.TestExcelAntSet,tearDown/0,fixture,1
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestExcelAntSet.java,org.apache.poi.ss.excelant.TestExcelAntSet,testSetter/0,fixture,2
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestExcelAntSet.java,org.apache.poi.ss.excelant.TestExcelAntSet,setUp/0,fixture,1
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestExcelAntPrecision.java,org.apache.poi.ss.excelant.TestExcelAntPrecision,setUp/0,fixture,1
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestExcelAntPrecision.java,org.apache.poi.ss.excelant.TestExcelAntPrecision,testVerifyPrecision/0,fixture,2
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestExcelAntPrecision.java,org.apache.poi.ss.excelant.TestExcelAntPrecision,tearDown/0,fixture,1
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestBuildFile.java,org.apache.poi.ss.excelant.TestBuildFile$AntTestListener,messageLogged/1[org.apache.poi.ss.excelant.BuildEvent],logLevel,1
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestBuildFile.java,org.apache.poi.ss.excelant.TestBuildFile$AntTestListener,AntTestListener/1[int],logLevel,3
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestBuildFile.java,org.apache.poi.ss.excelant.TestBuildFile$AntOutputStream,AntOutputStream/1[java.lang.StringBuilder],buffer,3
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestBuildFile.java,org.apache.poi.ss.excelant.TestBuildFile$AntOutputStream,write/1[int],buffer,1
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestBuildFile.java,org.apache.poi.ss.excelant.TestBuildFile,setUp/0,logBuffer,1
