file,class,method,constructor,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestExcelAntSet.java,org.apache.poi.ss.excelant.TestExcelAntSet,testSetWorkbookUtil/0,false,61,2,1,3,5,0,1,0,61,0,0,0,0,0,0,1,0,0,0,0,0,14,1
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestExcelAntSet.java,org.apache.poi.ss.excelant.TestExcelAntSet,tearDown/0,false,44,1,1,0,3,0,0,0,44,0,0,0,0,0,0,1,0,0,0,0,0,4,1
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestExcelAntSet.java,org.apache.poi.ss.excelant.TestExcelAntSet,testSetter/0,false,49,1,1,4,7,0,2,0,49,0,0,0,0,1,0,2,0,0,0,0,0,8,1
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestExcelAntSet.java,org.apache.poi.ss.excelant.TestExcelAntSet,setUp/0,false,39,2,1,0,3,0,0,0,39,0,0,0,0,0,0,1,0,0,0,0,0,8,1
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestExcelAntPrecision.java,org.apache.poi.ss.excelant.TestExcelAntPrecision,setUp/0,false,31,2,1,0,3,0,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,6,1
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestExcelAntPrecision.java,org.apache.poi.ss.excelant.TestExcelAntPrecision,testVerifyPrecision/0,false,41,1,1,4,7,0,2,0,41,0,0,0,0,0,3,2,0,0,0,0,0,8,1
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestExcelAntPrecision.java,org.apache.poi.ss.excelant.TestExcelAntPrecision,tearDown/0,false,36,1,1,0,3,0,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,4,1
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestBuildFile.java,org.apache.poi.ss.excelant.TestBuildFile$AntTestListener,messageLogged/1[org.apache.poi.ss.excelant.BuildEvent],false,284,1,5,3,9,1,0,1,284,0,3,0,0,0,0,0,0,1,0,0,0,11,1
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestBuildFile.java,org.apache.poi.ss.excelant.TestBuildFile$AntTestListener,buildStarted/1[org.apache.poi.ss.excelant.BuildEvent],false,222,1,1,0,2,0,0,1,222,0,0,0,0,0,0,0,0,0,0,0,0,10,1
/projects3/poi/src/excelant/testcases/org/apache/poi/ss/excelant/TestBuildFile.java,org.apache.poi.ss.excelant.TestBuildFile$AntTestListener,AntTestListener/1[int],true,214,0,1,0,3,0,0,1,214,0,0,0,0,0,0,1,0,0,0,0,0,16,1
