file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler,class,6,11,3,17,4,4,0,4,0,0,0,0,0,0,2,1,0,2,0,0,2,0,2,60,0,3,0,2,0,15,0,7,2,7,3,1,0,0,69,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler$Anonymous1,anonymous,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XDGFFileHandler.java,org.apache.poi.stress.XDGFFileHandler,class,4,3,2,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,1,0,2,0,3,0,3,1,0,0,0,28,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,class,14,17,6,44,13,6,0,4,2,0,0,0,0,0,1,1,0,1,0,0,1,0,3,191,0,2,5,3,0,19,0,24,2,23,3,0,1,0,137,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler$NullPrintStream,subclass,3,30,4,0,435,30,0,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78,7,0,0,0,0,1,0,0,0,0,0,1,0,0,27,8
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler$NullPrintStream$Anonymous1,anonymous,1,3,1,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1
/projects3/poi/src/integrationtest/org/apache/poi/stress/AbstractFileHandler.java,org.apache.poi.stress.AbstractFileHandler,class,8,14,1,28,6,4,0,2,2,0,0,0,0,0,1,1,1,0,0,0,1,0,1,84,0,0,0,5,3,18,0,15,4,13,3,0,0,0,109,1025
/projects3/poi/src/integrationtest/org/apache/poi/stress/HPBFFileHandler.java,org.apache.poi.stress.HPBFFileHandler,class,7,2,3,10,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,3,0,1,0,5,0,4,2,0,0,0,30,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/HMEFFileHandler.java,org.apache.poi.stress.HMEFFileHandler,class,7,10,2,14,6,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,3,0,3,1,0,9,3,13,1,10,1,0,0,0,56,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/HPSFFileHandler.java,org.apache.poi.stress.HPSFFileHandler,class,9,8,3,25,15,6,2,4,2,0,0,0,0,0,4,4,0,2,0,2,3,0,9,57,3,0,3,3,0,16,0,17,2,17,1,0,0,0,66,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/POIFSFileHandler.java,org.apache.poi.stress.POIFSFileHandler,class,6,5,2,14,10,5,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,3,0,1,0,7,0,7,1,0,0,0,34,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/FileHandler.java,org.apache.poi.stress.FileHandler,interface,0,3,1,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,60,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFBFileHandler.java,org.apache.poi.stress.XSSFBFileHandler,class,7,8,2,13,10,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,5,0,3,1,9,0,8,1,0,0,0,49,1
