file,class,method,variable,usage
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler,"handleFile/2[java.io.InputStream,java.lang.String]",delegate,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler,handleAdditional/1[java.io.File],EXPECTED_ADDITIONAL_FAILURES,2
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,handleAdditional/1[java.io.File],EXPECTED_ADDITIONAL_FAILURES,2
/projects3/poi/src/integrationtest/org/apache/poi/stress/AbstractFileHandler.java,org.apache.poi.stress.AbstractFileHandler,handleExtractingInternal/1[java.io.File],EXPECTED_EXTRACTOR_FAILURES,2
/projects3/poi/src/integrationtest/org/apache/poi/stress/HPSFFileHandler.java,org.apache.poi.stress.HPSFFileHandler,handleAdditional/1[java.io.File],EXCLUDES_HANDLE_ADD,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/HPSFFileHandler.java,org.apache.poi.stress.HPSFFileHandler,handleAdditional/1[java.io.File],copyOutput,4
/projects3/poi/src/integrationtest/org/apache/poi/stress/HPSFFileHandler.java,org.apache.poi.stress.HPSFFileHandler,handleAdditional/1[java.io.File],NL,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/HPSFFileHandler.java,org.apache.poi.stress.HPSFFileHandler,"handleFile/2[java.io.InputStream,java.lang.String]",EXCLUDES_HANDLE_FILE,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/FileHandlerFactory.java,org.apache.poi.stress.FileHandlerFactory,getHandler/1[java.lang.String],MIME_TYPES,1
/projects3/poi/src/integrationtest/org/apache/poi/POIFileScanner.java,org.apache.poi.POIFileScanner,scan/1[java.io.File],getIncludedFiles,0
/projects3/poi/src/integrationtest/org/apache/poi/POIFileScanner.java,org.apache.poi.POIFileScanner,scan/1[java.io.File],scanner,0
/projects3/poi/src/integrationtest/org/apache/poi/POIFileScanner.java,org.apache.poi.POIFileScanner,scan/1[java.io.File],length,0
/projects3/poi/src/integrationtest/org/apache/poi/TestAllFiles.java,org.apache.poi.TestAllFiles,files/0,file,9
/projects3/poi/src/integrationtest/org/apache/poi/TestAllFiles.java,org.apache.poi.TestAllFiles,files/0,getIncludedFiles,0
/projects3/poi/src/integrationtest/org/apache/poi/TestAllFiles.java,org.apache.poi.TestAllFiles,files/0,ROOT_DIR,1
/projects3/poi/src/integrationtest/org/apache/poi/TestAllFiles.java,org.apache.poi.TestAllFiles,files/0,scanner,0
/projects3/poi/src/integrationtest/org/apache/poi/TestAllFiles.java,org.apache.poi.TestAllFiles,files/0,length,0
/projects3/poi/src/integrationtest/org/apache/poi/TestAllFiles.java,org.apache.poi.TestAllFiles,files/0,SCAN_EXCLUDES,1
/projects3/poi/src/integrationtest/org/apache/poi/TestAllFiles.java,org.apache.poi.TestAllFiles,files/0,HANDLERS,1
/projects3/poi/src/integrationtest/org/apache/poi/TestAllFiles.java,org.apache.poi.TestAllFiles,files/0,IGNORED,1
/projects3/poi/src/integrationtest/org/apache/poi/TestAllFiles.java,org.apache.poi.TestAllFiles,setPassword/0,file,1
/projects3/poi/src/integrationtest/org/apache/poi/TestAllFiles.java,org.apache.poi.TestAllFiles,setPassword/0,FILE_PASSWORD,1
/projects3/poi/src/integrationtest/org/apache/poi/TestAllFiles.java,org.apache.poi.TestAllFiles,testAllFiles/0,handler,11
/projects3/poi/src/integrationtest/org/apache/poi/TestAllFiles.java,org.apache.poi.TestAllFiles,testAllFiles/0,OLD_FILES_HWPF,2
/projects3/poi/src/integrationtest/org/apache/poi/TestAllFiles.java,org.apache.poi.TestAllFiles,testAllFiles/0,file,27
/projects3/poi/src/integrationtest/org/apache/poi/TestAllFiles.java,org.apache.poi.TestAllFiles,testAllFiles/0,EXPECTED_FAILURES,4
/projects3/poi/src/integrationtest/org/apache/poi/TestAllFiles.java,org.apache.poi.TestAllFiles,testAllFiles/0,ROOT_DIR,1
/projects3/poi/src/integrationtest/org/apache/poi/TestAllFiles.java,org.apache.poi.TestAllFiles,getExtension/1[java.lang.String],file,5
/projects3/poi/src/integrationtest/org/apache/poi/BaseIntegrationTest.java,org.apache.poi.BaseIntegrationTest,testOneFile/1[java.io.File],handler,1
/projects3/poi/src/integrationtest/org/apache/poi/BaseIntegrationTest.java,org.apache.poi.BaseIntegrationTest,testOneFile/1[java.io.File],file,6
/projects3/poi/src/integrationtest/org/apache/poi/BaseIntegrationTest.java,org.apache.poi.BaseIntegrationTest,test/0,handler,1
/projects3/poi/src/integrationtest/org/apache/poi/BaseIntegrationTest.java,org.apache.poi.BaseIntegrationTest,test/0,file,3
/projects3/poi/src/integrationtest/org/apache/poi/BaseIntegrationTest.java,org.apache.poi.BaseIntegrationTest,test/0,rootDir,1
/projects3/poi/src/integrationtest/org/apache/poi/BaseIntegrationTest.java,org.apache.poi.BaseIntegrationTest,"handleWrongOLE2XMLExtension/2[java.io.File,java.lang.Exception]",handler,16
/projects3/poi/src/integrationtest/org/apache/poi/BaseIntegrationTest.java,org.apache.poi.BaseIntegrationTest,"handleWrongOLE2XMLExtension/2[java.io.File,java.lang.Exception]",file,1
/projects3/poi/src/integrationtest/org/apache/poi/BaseIntegrationTest.java,org.apache.poi.BaseIntegrationTest,"BaseIntegrationTest/3[java.io.File,java.lang.String,org.apache.poi.stress.FileHandler]",handler,3
/projects3/poi/src/integrationtest/org/apache/poi/BaseIntegrationTest.java,org.apache.poi.BaseIntegrationTest,"BaseIntegrationTest/3[java.io.File,java.lang.String,org.apache.poi.stress.FileHandler]",file,3
/projects3/poi/src/integrationtest/org/apache/poi/BaseIntegrationTest.java,org.apache.poi.BaseIntegrationTest,"BaseIntegrationTest/3[java.io.File,java.lang.String,org.apache.poi.stress.FileHandler]",rootDir,3
/projects3/poi/src/integrationtest/org/apache/poi/BaseIntegrationTest.java,org.apache.poi.BaseIntegrationTest,handleFile/1[java.io.File],handler,1
/projects3/poi/src/integrationtest/org/apache/poi/HeapDump.java,org.apache.poi.HeapDump,"dumpHeap/2[java.lang.String,boolean]",hotspotMBean,1
/projects3/poi/src/integrationtest/org/apache/poi/HeapDump.java,org.apache.poi.HeapDump,initHotspotMBean/0,hotspotMBean,3
/projects3/poi/src/integrationtest/org/apache/poi/HeapDump.java,org.apache.poi.HeapDump,getHotspotMBean/0,HOTSPOT_BEAN_NAME,1
