file,class,method,constructor,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler,"handleFile/2[java.io.InputStream,java.lang.String]",false,42,3,4,6,14,0,1,2,42,3,0,0,0,0,0,1,0,3,0,0,0,21,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler,handleAdditional/1[java.io.File],false,86,0,4,7,23,0,2,1,86,0,0,1,0,4,0,2,2,2,1,0,0,29,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler,test/0,false,114,2,1,2,6,0,2,0,114,0,0,1,0,1,0,2,0,1,0,0,0,10,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler,testExtractor/0,false,125,2,1,1,3,0,0,0,125,0,0,0,0,2,0,0,0,0,0,0,0,8,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler,(initializer),false,71,0,1,1,10,0,0,0,71,0,0,0,0,8,0,0,0,0,0,0,0,0,8
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler$Anonymous1,write/1[int],false,93,0,1,0,2,0,0,1,93,0,0,0,0,0,0,0,0,0,0,0,0,2,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XDGFFileHandler.java,org.apache.poi.stress.XDGFFileHandler,"handleFile/2[java.io.InputStream,java.lang.String]",false,28,2,2,2,5,1,1,2,28,0,0,0,0,0,0,1,0,0,0,0,0,18,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XDGFFileHandler.java,org.apache.poi.stress.XDGFFileHandler,test/0,false,39,3,1,2,6,0,2,0,39,0,0,1,0,2,0,2,0,1,0,0,0,18,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,exportToXML/1[org.apache.poi.stress.XSSFWorkbook],false,151,2,2,2,7,0,2,1,151,1,0,0,0,0,0,2,0,1,0,0,0,21,2
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,(initializer),false,161,0,1,1,12,0,0,0,161,0,0,0,0,10,0,0,0,0,0,0,0,0,8
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,handleAdditional/1[java.io.File],false,184,1,4,7,21,0,2,1,184,0,0,1,0,5,0,2,2,2,0,0,0,36,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,test/0,false,210,3,1,3,7,0,2,0,210,0,0,1,0,1,0,2,0,1,0,0,0,13,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,testAdditional/0,false,221,2,1,1,3,0,0,0,221,0,0,0,0,1,0,0,0,0,0,0,0,8,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,"handleFile/2[java.io.InputStream,java.lang.String]",false,63,8,3,20,37,0,10,2,63,0,2,1,0,2,0,11,0,3,0,0,0,58,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,checkXSSFReader/1[org.apache.poi.stress.OPCPackage],false,120,2,5,11,23,0,6,1,120,1,3,0,0,0,0,6,0,1,0,0,0,29,2
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler$NullPrintStream,println/1[java.lang.Object],false,279,0,1,0,2,0,0,1,279,0,0,0,0,0,0,0,0,0,0,0,0,3,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler$NullPrintStream,print/1[long],false,249,0,1,0,2,0,0,1,249,0,0,0,0,0,0,0,0,0,0,0,0,2,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler$NullPrintStream,"write/3[byte[],int,int]",false,241,1,1,0,2,0,0,3,241,0,0,0,0,0,0,0,0,0,0,0,0,2,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler$NullPrintStream,println/1[double],false,273,0,1,0,2,0,0,1,273,0,0,0,0,0,0,0,0,0,0,0,0,2,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler$NullPrintStream,print/1[int],false,247,0,1,0,2,0,0,1,247,0,0,0,0,0,0,0,0,0,0,0,0,2,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler$NullPrintStream,println/1[long],false,269,0,1,0,2,0,0,1,269,0,0,0,0,0,0,0,0,0,0,0,0,2,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler$NullPrintStream,"printf/3[java.util.Locale,java.lang.String,java.lang.Object[]]",false,283,1,1,0,3,1,0,3,283,0,0,0,0,0,0,0,0,0,0,0,0,5,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler$NullPrintStream,print/1[float],false,251,0,1,0,2,0,0,1,251,0,0,0,0,0,0,0,0,0,0,0,0,2,1
