file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
/projects3/poi/src/java/org/apache/poi/UnsupportedFileFormatException.java,org.apache.poi.UnsupportedFileFormatException,class,0,2,5,0,1,2,0,0,0,2,0,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,30,1025
/projects3/poi/src/java/org/apache/poi/ddf/EscherShapePathProperty.java,org.apache.poi.ddf.EscherShapePathProperty,class,2,2,3,0,1,2,0,2,0,0,0,0,0,0,5,5,5,0,0,0,5,0,0,13,0,0,0,0,0,0,5,5,0,5,0,0,0,0,41,1
/projects3/poi/src/java/org/apache/poi/ddf/EscherClientAnchorRecord.java,org.apache.poi.ddf.EscherClientAnchorRecord,class,8,41,2,14,249,30,0,30,0,0,0,0,0,0,13,2,1,12,0,0,2,0,25,190,18,0,5,0,6,10,42,59,29,19,2,0,0,0,159,1
/projects3/poi/src/java/org/apache/poi/ddf/EscherPictBlip.java,org.apache.poi.ddf.EscherPictBlip,class,10,29,3,22,121,22,1,21,1,0,0,0,0,0,18,6,3,15,0,0,7,0,29,189,14,1,5,1,3,9,47,70,10,26,2,0,0,0,137,17
/projects3/poi/src/java/org/apache/poi/ddf/EscherBoolProperty.java,org.apache.poi.ddf.EscherBoolProperty,class,2,3,3,1,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,0,1,0,0,0,0,0,0,0,48,1
/projects3/poi/src/java/org/apache/poi/ddf/EscherTextboxRecord.java,org.apache.poi.ddf.EscherTextboxRecord,class,10,14,2,13,36,12,0,12,0,0,0,0,0,0,4,3,1,3,0,0,3,0,9,58,8,0,2,0,1,4,13,11,10,8,1,0,0,0,123,17
/projects3/poi/src/java/org/apache/poi/ddf/DefaultEscherRecordFactory.java,org.apache.poi.ddf.DefaultEscherRecordFactory,class,22,21,1,12,6,4,2,3,0,1,0,0,0,0,2,2,0,2,0,0,0,0,6,81,9,1,9,3,1,2,4,15,1,13,2,0,0,0,100,1
/projects3/poi/src/java/org/apache/poi/ddf/EscherArrayProperty.java,org.apache.poi.ddf.EscherArrayProperty$Anonymous1,anonymous,3,4,1,3,1,3,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,16,2,0,0,0,1,1,0,0,0,1,1,1,-1,0,0,-1
/projects3/poi/src/java/org/apache/poi/ddf/EscherArrayProperty.java,org.apache.poi.ddf.EscherArrayProperty,class,11,36,3,22,87,19,2,16,3,0,0,0,0,0,4,2,0,4,0,0,3,0,24,125,15,0,5,0,10,7,31,16,14,14,2,1,0,1,190,17
/projects3/poi/src/java/org/apache/poi/ddf/EscherPropertyTypes.java,org.apache.poi.ddf.EscherPropertyTypes,enum,2,5,1,6,0,4,1,2,0,0,2,0,0,0,4,1,3,1,0,0,4,0,4,27,2,0,1,0,2,317,318,5,0,5,0,0,-1,0,0,1
