file,class,method,variable,usage
/projects3/poi/src/java/org/apache/poi/ddf/EscherClientAnchorRecord.java,org.apache.poi.ddf.EscherClientAnchorRecord,"fillFields/3[byte[],int,org.apache.poi.ddf.EscherRecordFactory]",field_6_col2,1
/projects3/poi/src/java/org/apache/poi/ddf/EscherClientAnchorRecord.java,org.apache.poi.ddf.EscherClientAnchorRecord,"fillFields/3[byte[],int,org.apache.poi.ddf.EscherRecordFactory]",field_1_flag,1
/projects3/poi/src/java/org/apache/poi/ddf/EscherClientAnchorRecord.java,org.apache.poi.ddf.EscherClientAnchorRecord,"fillFields/3[byte[],int,org.apache.poi.ddf.EscherRecordFactory]",remainingData,2
/projects3/poi/src/java/org/apache/poi/ddf/EscherClientAnchorRecord.java,org.apache.poi.ddf.EscherClientAnchorRecord,"fillFields/3[byte[],int,org.apache.poi.ddf.EscherRecordFactory]",field_8_row2,1
/projects3/poi/src/java/org/apache/poi/ddf/EscherClientAnchorRecord.java,org.apache.poi.ddf.EscherClientAnchorRecord,"fillFields/3[byte[],int,org.apache.poi.ddf.EscherRecordFactory]",field_3_dx1,1
/projects3/poi/src/java/org/apache/poi/ddf/EscherClientAnchorRecord.java,org.apache.poi.ddf.EscherClientAnchorRecord,"fillFields/3[byte[],int,org.apache.poi.ddf.EscherRecordFactory]",field_4_row1,1
/projects3/poi/src/java/org/apache/poi/ddf/EscherClientAnchorRecord.java,org.apache.poi.ddf.EscherClientAnchorRecord,"fillFields/3[byte[],int,org.apache.poi.ddf.EscherRecordFactory]",field_9_dy2,1
/projects3/poi/src/java/org/apache/poi/ddf/EscherClientAnchorRecord.java,org.apache.poi.ddf.EscherClientAnchorRecord,"fillFields/3[byte[],int,org.apache.poi.ddf.EscherRecordFactory]",field_2_col1,1
/projects3/poi/src/java/org/apache/poi/ddf/EscherClientAnchorRecord.java,org.apache.poi.ddf.EscherClientAnchorRecord,"fillFields/3[byte[],int,org.apache.poi.ddf.EscherRecordFactory]",field_5_dy1,1
/projects3/poi/src/java/org/apache/poi/ddf/EscherClientAnchorRecord.java,org.apache.poi.ddf.EscherClientAnchorRecord,"fillFields/3[byte[],int,org.apache.poi.ddf.EscherRecordFactory]",field_7_dx2,1
/projects3/poi/src/java/org/apache/poi/ddf/EscherClientAnchorRecord.java,org.apache.poi.ddf.EscherClientAnchorRecord,"fillFields/3[byte[],int,org.apache.poi.ddf.EscherRecordFactory]",shortRecord,2
/projects3/poi/src/java/org/apache/poi/ddf/EscherClientAnchorRecord.java,org.apache.poi.ddf.EscherClientAnchorRecord,"fillFields/3[byte[],int,org.apache.poi.ddf.EscherRecordFactory]",MAX_RECORD_LENGTH,1
/projects3/poi/src/java/org/apache/poi/ddf/EscherClientAnchorRecord.java,org.apache.poi.ddf.EscherClientAnchorRecord,setDx2/1[short],field_7_dx2,3
/projects3/poi/src/java/org/apache/poi/ddf/EscherClientAnchorRecord.java,org.apache.poi.ddf.EscherClientAnchorRecord,setDx2/1[short],shortRecord,1
/projects3/poi/src/java/org/apache/poi/ddf/EscherClientAnchorRecord.java,org.apache.poi.ddf.EscherClientAnchorRecord,getRow2/0,field_8_row2,1
/projects3/poi/src/java/org/apache/poi/ddf/EscherClientAnchorRecord.java,org.apache.poi.ddf.EscherClientAnchorRecord,getRecordId/0,RECORD_ID,1
/projects3/poi/src/java/org/apache/poi/ddf/EscherClientAnchorRecord.java,org.apache.poi.ddf.EscherClientAnchorRecord,getDy1/0,field_5_dy1,1
/projects3/poi/src/java/org/apache/poi/ddf/EscherClientAnchorRecord.java,org.apache.poi.ddf.EscherClientAnchorRecord,"serialize/3[int,byte[],org.apache.poi.ddf.EscherSerializationListener]",field_6_col2,1
/projects3/poi/src/java/org/apache/poi/ddf/EscherClientAnchorRecord.java,org.apache.poi.ddf.EscherClientAnchorRecord,"serialize/3[int,byte[],org.apache.poi.ddf.EscherSerializationListener]",field_1_flag,1
/projects3/poi/src/java/org/apache/poi/ddf/EscherClientAnchorRecord.java,org.apache.poi.ddf.EscherClientAnchorRecord,"serialize/3[int,byte[],org.apache.poi.ddf.EscherSerializationListener]",remainingData,6
