file,class,method,variable,usage
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,isPrintGridlines/0,_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getRepeatingColumns/0,_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getLeftCol/0,_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"groupColumn/2[int,int]",_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,setPrintGridlines/1[boolean],_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getFirstRowNum/0,_rows,2
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getFirstRowNum/0,_writer,2
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,trackAllColumnsForAutoSizing/0,_autoSizeColumnTracker,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getHorizontallyCenter/0,_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,protectSheet/1[java.lang.String],_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"createFreezePane/4[int,int,int,int]",_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,untrackColumnForAutoSizing/1[int],_autoSizeColumnTracker,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,trackColumnsForAutoSizing/1[java.util.Collection<java.lang.Integer>],_autoSizeColumnTracker,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"setMargin/2[short,double]",_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"groupRow/2[int,int]",outlineLevelRow,2
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"groupRow/2[int,int]",_rows,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getCellComment/1[org.apache.poi.xssf.streaming.CellAddress],_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,setSelected/1[boolean],_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getDisplayGuts/0,_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getLastFlushedRowNum/0,lastFlushedRowNumber,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,createDrawingPatriarch/0,_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"setColumnWidth/2[int,int]",_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getColumnOutlineLevel/1[int],_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getTabColor/0,_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getRowSumsRight/0,_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,setPrintRowAndColumnHeadings/1[boolean],_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getHeader/0,_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getVerticallyCenter/0,_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getCellComments/0,_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getTrackedColumnsForAutoSizing/0,_autoSizeColumnTracker,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getFitToPage/0,_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,untrackAllColumnsForAutoSizing/0,_autoSizeColumnTracker,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,isDisplayFormulas/0,_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getLastRowNum/0,_rows,2
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,setAutobreaks/1[boolean],_sh,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,setDisplayZeros/1[boolean],_sh,1
