file,class,method,constructor,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,isPrintGridlines/0,false,722,1,1,1,3,1,0,0,722,0,0,0,0,0,0,0,0,0,0,0,0,8,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getRepeatingColumns/0,false,1793,3,1,1,3,1,0,0,1793,0,0,0,0,0,0,0,0,0,0,0,0,6,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getLeftCol/0,false,910,1,1,1,3,1,0,0,910,0,0,0,0,0,0,0,0,0,0,0,0,26,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"groupColumn/2[int,int]",false,1216,1,1,1,3,0,0,2,1216,0,0,0,0,0,0,0,0,0,0,0,0,13,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,setPrintGridlines/1[boolean],false,733,1,1,1,3,0,0,1,733,0,0,0,0,0,0,0,0,0,0,0,0,14,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getFirstRowNum/0,false,205,1,3,4,6,2,0,0,205,0,1,0,0,0,3,0,0,1,0,0,0,14,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,trackAllColumnsForAutoSizing/0,false,1451,1,1,1,3,0,0,0,1451,0,0,0,0,0,0,0,0,0,0,0,0,29,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,lockDeleteRows/1[boolean],false,1976,1,1,2,3,0,0,1,1976,0,0,0,0,0,0,0,0,0,0,0,0,23,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getHorizontallyCenter/0,false,441,1,1,1,3,1,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,11,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,protectSheet/1[java.lang.String],false,851,1,1,1,3,0,0,1,851,0,0,0,0,0,0,0,0,0,0,0,0,14,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,lockInsertColumns/1[boolean],false,2012,1,1,2,3,0,0,1,2012,0,0,0,0,0,0,0,0,0,0,0,0,23,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"createFreezePane/4[int,int,int,int]",false,1004,1,1,1,3,0,0,4,1004,0,0,0,0,0,0,0,0,0,0,0,0,30,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,untrackColumnForAutoSizing/1[int],false,1467,1,1,1,3,1,0,1,1467,0,0,0,0,0,0,0,0,0,0,0,0,43,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,trackColumnsForAutoSizing/1[java.util.Collection<java.lang.Integer>],false,1441,1,1,1,3,0,0,1,1441,0,0,0,0,0,0,0,0,0,0,0,0,33,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,lockInsertRows/1[boolean],false,2030,1,1,2,3,0,0,1,2030,0,0,0,0,0,0,0,0,0,0,0,0,23,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"setMargin/2[short,double]",false,830,1,1,1,3,0,0,2,830,0,0,0,0,0,0,0,0,0,0,0,0,11,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"groupRow/2[int,int]",false,1271,2,3,5,10,0,1,2,1271,1,0,0,0,0,2,2,2,2,0,0,0,61,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getCellComment/1[org.apache.poi.xssf.streaming.CellAddress],false,1615,3,1,1,3,1,0,1,1615,0,0,0,0,0,0,0,0,0,0,0,0,20,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,setSelected/1[boolean],false,806,1,1,1,3,0,0,1,806,0,0,0,0,0,0,0,0,0,0,0,0,22,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getDisplayGuts/0,false,662,1,1,1,3,1,0,0,662,0,0,0,0,0,0,0,0,0,0,0,0,14,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getLastFlushedRowNum/0,false,1839,0,1,0,3,1,0,0,1839,0,0,0,0,0,0,0,0,0,0,0,0,15,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,createDrawingPatriarch/0,false,1679,3,1,2,3,1,0,0,1679,0,0,0,0,0,0,0,0,0,0,0,0,14,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"setColumnWidth/2[int,int]",false,260,1,1,1,3,0,0,2,260,0,0,0,0,0,0,0,0,0,0,0,0,35,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getColumnOutlineLevel/1[int],false,1911,1,1,1,3,1,0,1,1911,0,0,0,0,0,0,0,0,0,0,0,0,6,1
