file,class,method,variable,usage
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"groupColumn/2[int,int]",fromColumn,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"groupColumn/2[int,int]",toColumn,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,setPrintGridlines/1[boolean],show,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,lockDeleteRows/1[boolean],enabled,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,protectSheet/1[java.lang.String],password,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,lockInsertColumns/1[boolean],enabled,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"createFreezePane/4[int,int,int,int]",rowSplit,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"createFreezePane/4[int,int,int,int]",colSplit,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"createFreezePane/4[int,int,int,int]",topRow,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"createFreezePane/4[int,int,int,int]",leftmostColumn,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,untrackColumnForAutoSizing/1[int],column,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,trackColumnsForAutoSizing/1[java.util.Collection<java.lang.Integer>],columns,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,lockInsertRows/1[boolean],enabled,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"setMargin/2[short,double]",margin,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"setMargin/2[short,double]",size,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"groupRow/2[int,int]",fromRow,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"groupRow/2[int,int]",level,3
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"groupRow/2[int,int]",toRow,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"groupRow/2[int,int]",row,2
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getCellComment/1[org.apache.poi.xssf.streaming.CellAddress],ref,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,setSelected/1[boolean],value,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"setColumnWidth/2[int,int]",width,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"setColumnWidth/2[int,int]",columnIndex,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,getColumnOutlineLevel/1[int],columnIndex,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,setPrintRowAndColumnHeadings/1[boolean],show,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,lockScenarios/1[boolean],enabled,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,setAutobreaks/1[boolean],value,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,setDisplayZeros/1[boolean],value,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,lockSort/1[boolean],enabled,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"changeRowNum/2[org.apache.poi.xssf.streaming.SXSSFRow,int]",newRowNum,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"changeRowNum/2[org.apache.poi.xssf.streaming.SXSSFRow,int]",row,2
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,safeGetProtectionField/0,ct,2
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,lockSelectLockedCells/1[boolean],enabled,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,setAutoFilter/1[org.apache.poi.xssf.streaming.CellRangeAddress],range,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,setRandomAccessWindowSize/1[int],value,3
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,addValidationData/1[org.apache.poi.xssf.streaming.DataValidation],dataValidation,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,isColumnBroken/1[int],column,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"setColumnHidden/2[int,boolean]",hidden,1
/projects3/poi/src/ooxml/java/org/apache/poi/xssf/streaming/SXSSFSheet.java,org.apache.poi.xssf.streaming.SXSSFSheet,"setColumnHidden/2[int,boolean]",columnIndex,1
