file,class,method,variable,usage
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSheetDataWriter.java,org.apache.poi.xssf.streaming.TestSheetDataWriter,testReplaceWithQuestionMark/0,unicodeSurrogates,2
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSheetDataWriter.java,org.apache.poi.xssf.streaming.TestSheetDataWriter,testWriteUnicodeSurrogates/0,unicodeSurrogates,2
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheetAutoSizeColumn.java,org.apache.poi.xssf.streaming.TestSXSSFSheetAutoSizeColumn,autoSizeColumn_isColumnTrackedForAutoSizing/0,workbook,2
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheetAutoSizeColumn.java,org.apache.poi.xssf.streaming.TestSXSSFSheetAutoSizeColumn,autoSizeColumn_isColumnTrackedForAutoSizing/0,columns,3
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheetAutoSizeColumn.java,org.apache.poi.xssf.streaming.TestSXSSFSheetAutoSizeColumn,autoSizeColumn_isColumnTrackedForAutoSizing/0,sheet,4
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheetAutoSizeColumn.java,org.apache.poi.xssf.streaming.TestSXSSFSheetAutoSizeColumn,autoSizeColumn_trackAllColumns/0,workbook,2
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheetAutoSizeColumn.java,org.apache.poi.xssf.streaming.TestSXSSFSheetAutoSizeColumn,autoSizeColumn_trackAllColumns/0,useMergedCells,2
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheetAutoSizeColumn.java,org.apache.poi.xssf.streaming.TestSXSSFSheetAutoSizeColumn,autoSizeColumn_trackAllColumns/0,sheet,5
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheetAutoSizeColumn.java,org.apache.poi.xssf.streaming.TestSXSSFSheetAutoSizeColumn,"createRowWithCellValues/3[org.apache.poi.xssf.streaming.Sheet,int,java.lang.String[]]",sheet,2
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheetAutoSizeColumn.java,org.apache.poi.xssf.streaming.TestSXSSFSheetAutoSizeColumn,test_WindowSizeEqualsOne_lastRowIsWidest/0,workbook,3
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheetAutoSizeColumn.java,org.apache.poi.xssf.streaming.TestSXSSFSheetAutoSizeColumn,test_WindowSizeEqualsOne_lastRowIsWidest/0,SHORT_CELL_VALUE,1
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheetAutoSizeColumn.java,org.apache.poi.xssf.streaming.TestSXSSFSheetAutoSizeColumn,test_WindowSizeEqualsOne_lastRowIsWidest/0,useMergedCells,1
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheetAutoSizeColumn.java,org.apache.poi.xssf.streaming.TestSXSSFSheetAutoSizeColumn,test_WindowSizeEqualsOne_lastRowIsWidest/0,sheet,6
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheetAutoSizeColumn.java,org.apache.poi.xssf.streaming.TestSXSSFSheetAutoSizeColumn,test_WindowSizeEqualsOne_lastRowIsWidest/0,MAX_COLUMN_WIDTH,1
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheetAutoSizeColumn.java,org.apache.poi.xssf.streaming.TestSXSSFSheetAutoSizeColumn,test_WindowSizeEqualsOne_lastRowIsWidest/0,COLUMN_WIDTH_THRESHOLD_BETWEEN_SHORT_AND_LONG,1
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheetAutoSizeColumn.java,org.apache.poi.xssf.streaming.TestSXSSFSheetAutoSizeColumn,test_WindowSizeEqualsOne_lastRowIsWidest/0,LONG_CELL_VALUE,1
