file,class,method,constructor,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheet.java,org.apache.poi.xssf.streaming.TestSXSSFSheet,overrideFlushedRows/0,false,113,3,1,4,12,0,2,0,113,0,0,1,0,1,6,2,0,1,0,0,0,23,1
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheet.java,org.apache.poi.xssf.streaming.TestSXSSFSheet,shiftMerged/0,false,79,1,1,3,5,0,0,0,79,0,0,0,0,1,0,0,0,0,0,0,0,14,1
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheet.java,org.apache.poi.xssf.streaming.TestSXSSFSheet,cloneSheetMultipleTimes/0,false,68,1,1,3,5,0,0,0,68,0,0,0,0,1,0,0,0,0,0,0,0,7,1
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheet.java,org.apache.poi.xssf.streaming.TestSXSSFSheet,bug35084/0,false,92,1,1,3,5,0,0,0,92,0,0,0,0,1,0,0,0,0,0,0,0,22,1
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheet.java,org.apache.poi.xssf.streaming.TestSXSSFSheet,tearDown/0,false,44,2,1,1,3,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,2,1
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheet.java,org.apache.poi.xssf.streaming.TestSXSSFSheet,cloneSheet/0,false,60,1,1,3,5,0,0,0,60,0,0,0,0,1,0,0,0,0,0,0,0,15,1
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheet.java,org.apache.poi.xssf.streaming.TestSXSSFSheet,defaultColumnStyle/0,false,108,1,1,0,2,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,3,1
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheet.java,org.apache.poi.xssf.streaming.TestSXSSFSheet,getCellComment/0,false,100,1,1,0,2,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6,1
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheet.java,org.apache.poi.xssf.streaming.TestSXSSFSheet,trackColumnsForAutoSizingIfSXSSF/1[org.apache.poi.xssf.streaming.Sheet],false,49,2,1,1,4,0,1,1,49,0,0,0,0,0,0,1,0,0,0,0,0,12,4
/projects3/poi/src/ooxml/testcases/org/apache/poi/xssf/streaming/TestSXSSFSheet.java,org.apache.poi.xssf.streaming.TestSXSSFSheet,overrideRowsInTemplate/0,false,129,5,3,7,27,0,3,0,129,0,0,3,0,4,5,3,0,2,0,0,0,30,1
