file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,class,11,13,2,22,1,6,0,6,0,0,0,0,0,0,4,1,0,4,0,0,1,0,8,71,3,2,1,1,0,30,8,18,17,18,4,0,0,0,97,17
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/StreamStore.java,org.apache.poi.hdgf.streams.StreamStore,class,1,5,1,2,0,5,0,1,0,4,0,0,0,0,2,1,0,2,0,0,1,0,3,22,2,0,0,0,0,0,5,4,1,3,0,0,0,0,55,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/ChunkStream.java,org.apache.poi.hdgf.streams.ChunkStream,class,9,7,2,13,0,3,0,2,0,1,0,0,0,0,3,1,0,3,0,0,1,0,1,40,1,1,1,1,1,5,4,11,4,9,3,0,0,0,43,17
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/UnknownStream.java,org.apache.poi.hdgf.streams.UnknownStream,class,3,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/TrailerStream.java,org.apache.poi.hdgf.streams.TrailerStream,class,5,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/StringsStream.java,org.apache.poi.hdgf.streams.StringsStream,class,4,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/PointerContainingStream.java,org.apache.poi.hdgf.streams.PointerContainingStream,class,8,7,2,5,0,4,0,2,0,2,0,0,0,0,4,0,0,4,0,0,0,0,1,33,2,1,0,0,0,0,1,9,0,8,2,0,0,0,54,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/Stream.java,org.apache.poi.hdgf.streams.Stream,class,13,12,1,8,0,6,1,4,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,47,9,0,1,1,0,0,1,4,0,3,2,0,0,0,69,1025
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/CompressedStreamStore.java,org.apache.poi.hdgf.streams.CompressedStreamStore,class,4,7,2,5,7,6,1,1,1,4,0,0,0,0,4,1,0,4,0,0,1,0,4,37,4,0,0,0,0,0,20,11,1,8,0,0,0,0,94,17
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFLZWCompressor.java,org.apache.poi.hdgf.HDGFLZWCompressor,class,2,24,1,7,0,6,0,2,4,0,0,0,0,0,10,0,0,10,0,0,4,0,0,109,3,4,5,0,10,0,33,33,10,22,4,0,0,0,112,16
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFLZW.java,org.apache.poi.hdgf.HDGFLZW,class,4,6,2,3,10,5,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,0,0,0,5,4,2,2,1,0,0,0,92,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/chunks/Chunk.java,org.apache.poi.hdgf.chunks.Chunk$BlockOffsetCommand,subclass,2,2,2,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,10
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/chunks/Chunk.java,org.apache.poi.hdgf.chunks.Chunk,class,9,58,2,23,13,10,0,9,0,1,0,0,0,0,8,0,0,7,1,0,0,0,5,183,8,2,11,1,1,7,47,32,9,20,4,0,2,0,142,17
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/chunks/Chunk.java,org.apache.poi.hdgf.chunks.Chunk$Command,subclass,1,4,1,0,0,4,0,2,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,17,2,0,0,0,0,0,0,2,0,2,0,0,0,0,36,9
