file,class,method,variable,usage
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,HDGFDiagram/1[org.apache.poi.hdgf.DirectoryNode],trailer,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,HDGFDiagram/1[org.apache.poi.hdgf.DirectoryNode],trailerPointer,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,HDGFDiagram/1[org.apache.poi.hdgf.DirectoryNode],VISIO_HEADER,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,HDGFDiagram/1[org.apache.poi.hdgf.DirectoryNode],docSize,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,getDocumentSize/0,docSize,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,debug/0,trailer,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,debug/0,getPointedToStreams,0
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,debug/0,pcs,0
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,debug/0,trailerPointer,4
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,debug/0,length,0
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,getTrailerStream/0,trailer,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,getTopLevelStreams/0,trailer,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/StreamStore.java,org.apache.poi.hdgf.streams.StreamStore,"StreamStore/3[byte[],int,int]",contents,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/StreamStore.java,org.apache.poi.hdgf.streams.StreamStore,"StreamStore/3[byte[],int,int]",MAX_RECORD_LENGTH,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/StreamStore.java,org.apache.poi.hdgf.streams.StreamStore,getContents/0,contents,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/StreamStore.java,org.apache.poi.hdgf.streams.StreamStore,prependContentsWith/1[byte[]],contents,4
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/StreamStore.java,org.apache.poi.hdgf.streams.StreamStore,prependContentsWith/1[byte[]],MAX_RECORD_LENGTH,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/StreamStore.java,org.apache.poi.hdgf.streams.StreamStore,_getContents/0,contents,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/ChunkStream.java,org.apache.poi.hdgf.streams.ChunkStream,findChunks/0,chunks,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/ChunkStream.java,org.apache.poi.hdgf.streams.ChunkStream,findChunks/0,logger,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/ChunkStream.java,org.apache.poi.hdgf.streams.ChunkStream,findChunks/0,chunkFactory,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/ChunkStream.java,org.apache.poi.hdgf.streams.ChunkStream,getChunks/0,chunks,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/ChunkStream.java,org.apache.poi.hdgf.streams.ChunkStream,"ChunkStream/3[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore,org.apache.poi.hdgf.chunks.ChunkFactory]",chunkFactory,3
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/PointerContainingStream.java,org.apache.poi.hdgf.streams.PointerContainingStream,getChildPointers/0,childPointers,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/PointerContainingStream.java,org.apache.poi.hdgf.streams.PointerContainingStream,findChildren/1[byte[]],pointerFactory,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/PointerContainingStream.java,org.apache.poi.hdgf.streams.PointerContainingStream,findChildren/1[byte[]],chunkFactory,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/PointerContainingStream.java,org.apache.poi.hdgf.streams.PointerContainingStream,findChildren/1[byte[]],childStreams,6
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/PointerContainingStream.java,org.apache.poi.hdgf.streams.PointerContainingStream,findChildren/1[byte[]],childPointers,3
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/PointerContainingStream.java,org.apache.poi.hdgf.streams.PointerContainingStream,getPointedToStreams/0,childStreams,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/PointerContainingStream.java,org.apache.poi.hdgf.streams.PointerContainingStream,"PointerContainingStream/4[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore,org.apache.poi.hdgf.chunks.ChunkFactory,org.apache.poi.hdgf.pointers.PointerFactory]",pointerFactory,4
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/PointerContainingStream.java,org.apache.poi.hdgf.streams.PointerContainingStream,"PointerContainingStream/4[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore,org.apache.poi.hdgf.chunks.ChunkFactory,org.apache.poi.hdgf.pointers.PointerFactory]",chunkFactory,3
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/PointerContainingStream.java,org.apache.poi.hdgf.streams.PointerContainingStream,"PointerContainingStream/4[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore,org.apache.poi.hdgf.chunks.ChunkFactory,org.apache.poi.hdgf.pointers.PointerFactory]",childPointers,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/Stream.java,org.apache.poi.hdgf.streams.Stream,_getStore/0,store,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/Stream.java,org.apache.poi.hdgf.streams.Stream,"Stream/2[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore]",pointer,3
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/Stream.java,org.apache.poi.hdgf.streams.Stream,"Stream/2[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore]",store,3
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/Stream.java,org.apache.poi.hdgf.streams.Stream,getPointer/0,pointer,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/Stream.java,org.apache.poi.hdgf.streams.Stream,"createStream/4[org.apache.poi.hdgf.pointers.Pointer,byte[],org.apache.poi.hdgf.chunks.ChunkFactory,org.apache.poi.hdgf.pointers.PointerFactory]",pointer,15
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/Stream.java,org.apache.poi.hdgf.streams.Stream,_getContentsLength/0,length,0
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/Stream.java,org.apache.poi.hdgf.streams.Stream,_getContentsLength/0,getContents,0
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/Stream.java,org.apache.poi.hdgf.streams.Stream,_getContentsLength/0,store,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/Stream.java,org.apache.poi.hdgf.streams.Stream,getStore/0,store,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/CompressedStreamStore.java,org.apache.poi.hdgf.streams.CompressedStreamStore,_getCompressedContents/0,compressedContents,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/CompressedStreamStore.java,org.apache.poi.hdgf.streams.CompressedStreamStore,copyBlockHeaderToContents/0,blockHeaderInContents,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/CompressedStreamStore.java,org.apache.poi.hdgf.streams.CompressedStreamStore,copyBlockHeaderToContents/0,blockHeader,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/CompressedStreamStore.java,org.apache.poi.hdgf.streams.CompressedStreamStore,"decompress/3[byte[],int,int]",ret,0
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/CompressedStreamStore.java,org.apache.poi.hdgf.streams.CompressedStreamStore,"decompress/3[byte[],int,int]",length,0
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/CompressedStreamStore.java,org.apache.poi.hdgf.streams.CompressedStreamStore,_getBlockHeader/0,blockHeader,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/CompressedStreamStore.java,org.apache.poi.hdgf.streams.CompressedStreamStore,"CompressedStreamStore/3[byte[],int,int]",compressedContents,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/CompressedStreamStore.java,org.apache.poi.hdgf.streams.CompressedStreamStore,"CompressedStreamStore/3[byte[],int,int]",MAX_RECORD_LENGTH,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/CompressedStreamStore.java,org.apache.poi.hdgf.streams.CompressedStreamStore,CompressedStreamStore/1[byte[][]],blockHeader,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/CompressedStreamStore.java,org.apache.poi.hdgf.streams.CompressedStreamStore,CompressedStreamStore/1[byte[][]],decompressedData,0
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/CompressedStreamStore.java,org.apache.poi.hdgf.streams.CompressedStreamStore,CompressedStreamStore/1[byte[][]],length,0
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFLZWCompressor.java,org.apache.poi.hdgf.HDGFLZWCompressor,HDGFLZWCompressor/1[java.io.OutputStream],res,3
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFLZWCompressor.java,org.apache.poi.hdgf.HDGFLZWCompressor,outputCompressed/0,rawCodeLen,4
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFLZWCompressor.java,org.apache.poi.hdgf.HDGFLZWCompressor,outputCompressed/0,buffer,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFLZWCompressor.java,org.apache.poi.hdgf.HDGFLZWCompressor,outputCompressed/0,rawCode,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFLZWCompressor.java,org.apache.poi.hdgf.HDGFLZWCompressor,outputCompressed/0,maskBitsSet,3
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFLZWCompressor.java,org.apache.poi.hdgf.HDGFLZWCompressor,outputCompressed/0,bufferLen,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFLZWCompressor.java,org.apache.poi.hdgf.HDGFLZWCompressor,outputUncompressed/1[byte],rawCodeLen,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFLZWCompressor.java,org.apache.poi.hdgf.HDGFLZWCompressor,outputUncompressed/1[byte],buffer,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFLZWCompressor.java,org.apache.poi.hdgf.HDGFLZWCompressor,outputUncompressed/1[byte],nextMask,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFLZWCompressor.java,org.apache.poi.hdgf.HDGFLZWCompressor,outputUncompressed/1[byte],maskBitsSet,3
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFLZWCompressor.java,org.apache.poi.hdgf.HDGFLZWCompressor,outputUncompressed/1[byte],bufferLen,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFLZWCompressor.java,org.apache.poi.hdgf.HDGFLZWCompressor,findRawCodeInBuffer/0,posInp,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFLZWCompressor.java,org.apache.poi.hdgf.HDGFLZWCompressor,findRawCodeInBuffer/0,rawCodeLen,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFLZWCompressor.java,org.apache.poi.hdgf.HDGFLZWCompressor,findRawCodeInBuffer/0,dict,1
