file,class,method,constructor,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,HDGFDiagram/1[org.apache.poi.hdgf.POIFSFileSystem],true,52,1,1,1,3,0,0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,13,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,HDGFDiagram/1[org.apache.poi.hdgf.DirectoryNode],true,56,7,2,8,18,0,6,1,56,0,0,1,0,2,5,9,1,1,0,0,0,40,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,getDocumentSize/0,false,108,0,1,0,3,1,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,4,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,debug/0,false,114,4,7,13,35,0,8,0,114,2,1,0,0,27,3,8,16,4,0,0,0,34,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,getTrailerStream/0,false,98,1,1,0,3,1,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,12,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,getTopLevelStreams/0,false,106,2,1,1,3,1,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,15,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/StreamStore.java,org.apache.poi.hdgf.streams.StreamStore,"StreamStore/3[byte[],int,int]",true,36,1,1,2,4,0,0,3,36,0,0,0,0,0,1,1,0,0,0,0,0,8,4
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/StreamStore.java,org.apache.poi.hdgf.streams.StreamStore,getContents/0,false,49,1,1,0,3,1,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,3,4
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/StreamStore.java,org.apache.poi.hdgf.streams.StreamStore,prependContentsWith/1[byte[]],false,41,1,1,2,6,0,1,1,41,0,0,0,0,0,3,2,1,0,0,0,0,6,4
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/StreamStore.java,org.apache.poi.hdgf.streams.StreamStore,copyBlockHeaderToContents/0,false,47,0,1,0,2,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,5,4
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/StreamStore.java,org.apache.poi.hdgf.streams.StreamStore,_getContents/0,false,50,1,1,0,3,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,3,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/ChunkStream.java,org.apache.poi.hdgf.streams.ChunkStream,findChunks/0,false,49,7,5,11,27,0,6,0,49,1,1,1,1,5,4,9,4,3,0,0,0,33,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/ChunkStream.java,org.apache.poi.hdgf.streams.ChunkStream,getChunks/0,false,44,1,1,0,3,1,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,3,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/ChunkStream.java,org.apache.poi.hdgf.streams.ChunkStream,"ChunkStream/3[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore,org.apache.poi.hdgf.chunks.ChunkFactory]",true,36,3,1,1,5,0,0,3,36,0,0,0,0,0,0,1,0,0,0,0,0,5,4
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/UnknownStream.java,org.apache.poi.hdgf.streams.UnknownStream,"UnknownStream/2[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore]",true,27,2,1,0,3,0,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,4,4
