file,class,method,variable,usage
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,HDGFDiagram/1[org.apache.poi.hdgf.POIFSFileSystem],fs,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,HDGFDiagram/1[org.apache.poi.hdgf.DirectoryNode],ptrFactory,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,HDGFDiagram/1[org.apache.poi.hdgf.DirectoryNode],_docstream,7
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,HDGFDiagram/1[org.apache.poi.hdgf.DirectoryNode],typeString,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,HDGFDiagram/1[org.apache.poi.hdgf.DirectoryNode],chunkFactory,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,HDGFDiagram/1[org.apache.poi.hdgf.DirectoryNode],is,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,HDGFDiagram/1[org.apache.poi.hdgf.DirectoryNode],dir,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,HDGFDiagram/1[org.apache.poi.hdgf.DirectoryNode],version,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,debug/0,ss,3
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,debug/0,pcs,5
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,debug/0,stream,6
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,debug/0,i,4
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,debug/0,j,5
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,debug/0,sptr,4
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/HDGFDiagram.java,org.apache.poi.hdgf.HDGFDiagram,debug/0,ptr,11
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/StreamStore.java,org.apache.poi.hdgf.streams.StreamStore,"StreamStore/3[byte[],int,int]",data,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/StreamStore.java,org.apache.poi.hdgf.streams.StreamStore,"StreamStore/3[byte[],int,int]",offset,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/StreamStore.java,org.apache.poi.hdgf.streams.StreamStore,"StreamStore/3[byte[],int,int]",length,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/StreamStore.java,org.apache.poi.hdgf.streams.StreamStore,prependContentsWith/1[byte[]],b,4
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/StreamStore.java,org.apache.poi.hdgf.streams.StreamStore,prependContentsWith/1[byte[]],newContents,3
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/ChunkStream.java,org.apache.poi.hdgf.streams.ChunkStream,findChunks/0,headerSize,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/ChunkStream.java,org.apache.poi.hdgf.streams.ChunkStream,findChunks/0,pos,7
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/ChunkStream.java,org.apache.poi.hdgf.streams.ChunkStream,findChunks/0,contents,5
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/ChunkStream.java,org.apache.poi.hdgf.streams.ChunkStream,findChunks/0,e,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/ChunkStream.java,org.apache.poi.hdgf.streams.ChunkStream,findChunks/0,i,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/ChunkStream.java,org.apache.poi.hdgf.streams.ChunkStream,findChunks/0,chunk,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/ChunkStream.java,org.apache.poi.hdgf.streams.ChunkStream,findChunks/0,chunksA,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/ChunkStream.java,org.apache.poi.hdgf.streams.ChunkStream,"ChunkStream/3[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore,org.apache.poi.hdgf.chunks.ChunkFactory]",pointer,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/ChunkStream.java,org.apache.poi.hdgf.streams.ChunkStream,"ChunkStream/3[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore,org.apache.poi.hdgf.chunks.ChunkFactory]",chunkFactory,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/ChunkStream.java,org.apache.poi.hdgf.streams.ChunkStream,"ChunkStream/3[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore,org.apache.poi.hdgf.chunks.ChunkFactory]",store,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/UnknownStream.java,org.apache.poi.hdgf.streams.UnknownStream,"UnknownStream/2[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore]",pointer,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/UnknownStream.java,org.apache.poi.hdgf.streams.UnknownStream,"UnknownStream/2[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore]",store,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/TrailerStream.java,org.apache.poi.hdgf.streams.TrailerStream,"TrailerStream/4[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore,org.apache.poi.hdgf.chunks.ChunkFactory,org.apache.poi.hdgf.pointers.PointerFactory]",pointer,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/TrailerStream.java,org.apache.poi.hdgf.streams.TrailerStream,"TrailerStream/4[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore,org.apache.poi.hdgf.chunks.ChunkFactory,org.apache.poi.hdgf.pointers.PointerFactory]",pointerFactory,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/TrailerStream.java,org.apache.poi.hdgf.streams.TrailerStream,"TrailerStream/4[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore,org.apache.poi.hdgf.chunks.ChunkFactory,org.apache.poi.hdgf.pointers.PointerFactory]",chunkFactory,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/TrailerStream.java,org.apache.poi.hdgf.streams.TrailerStream,"TrailerStream/4[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore,org.apache.poi.hdgf.chunks.ChunkFactory,org.apache.poi.hdgf.pointers.PointerFactory]",store,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/StringsStream.java,org.apache.poi.hdgf.streams.StringsStream,"StringsStream/3[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore,org.apache.poi.hdgf.chunks.ChunkFactory]",pointer,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/StringsStream.java,org.apache.poi.hdgf.streams.StringsStream,"StringsStream/3[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore,org.apache.poi.hdgf.chunks.ChunkFactory]",chunkFactory,0
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/StringsStream.java,org.apache.poi.hdgf.streams.StringsStream,"StringsStream/3[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore,org.apache.poi.hdgf.chunks.ChunkFactory]",store,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/PointerContainingStream.java,org.apache.poi.hdgf.streams.PointerContainingStream,findChildren/1[byte[]],i,8
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/PointerContainingStream.java,org.apache.poi.hdgf.streams.PointerContainingStream,findChildren/1[byte[]],documentData,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/PointerContainingStream.java,org.apache.poi.hdgf.streams.PointerContainingStream,findChildren/1[byte[]],ptr,1
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/PointerContainingStream.java,org.apache.poi.hdgf.streams.PointerContainingStream,findChildren/1[byte[]],child,3
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/PointerContainingStream.java,org.apache.poi.hdgf.streams.PointerContainingStream,"PointerContainingStream/4[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore,org.apache.poi.hdgf.chunks.ChunkFactory,org.apache.poi.hdgf.pointers.PointerFactory]",pointer,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/PointerContainingStream.java,org.apache.poi.hdgf.streams.PointerContainingStream,"PointerContainingStream/4[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore,org.apache.poi.hdgf.chunks.ChunkFactory,org.apache.poi.hdgf.pointers.PointerFactory]",pointerFactory,3
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/PointerContainingStream.java,org.apache.poi.hdgf.streams.PointerContainingStream,"PointerContainingStream/4[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore,org.apache.poi.hdgf.chunks.ChunkFactory,org.apache.poi.hdgf.pointers.PointerFactory]",chunkFactory,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/PointerContainingStream.java,org.apache.poi.hdgf.streams.PointerContainingStream,"PointerContainingStream/4[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore,org.apache.poi.hdgf.chunks.ChunkFactory,org.apache.poi.hdgf.pointers.PointerFactory]",store,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/Stream.java,org.apache.poi.hdgf.streams.Stream,"Stream/2[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore]",pointer,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/Stream.java,org.apache.poi.hdgf.streams.Stream,"Stream/2[org.apache.poi.hdgf.pointers.Pointer,org.apache.poi.hdgf.streams.StreamStore]",store,2
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/Stream.java,org.apache.poi.hdgf.streams.Stream,"createStream/4[org.apache.poi.hdgf.pointers.Pointer,byte[],org.apache.poi.hdgf.chunks.ChunkFactory,org.apache.poi.hdgf.pointers.PointerFactory]",pointer,14
/projects3/poi/src/scratchpad/src/org/apache/poi/hdgf/streams/Stream.java,org.apache.poi.hdgf.streams.Stream,"createStream/4[org.apache.poi.hdgf.pointers.Pointer,byte[],org.apache.poi.hdgf.chunks.ChunkFactory,org.apache.poi.hdgf.pointers.PointerFactory]",e,1
