file,class,method,variable,usage
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testCreate/0,hdgf,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testCreate/0,fs,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testV5/0,textExtractor,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testV5/0,hdgf,3
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testV5/0,fs,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testV5/0,_dgTests,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,DISABLEDtestAIOOB/0,hdgf,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,DISABLEDtestAIOOB/0,fs,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,DISABLEDtestAIOOB/0,_dgTests,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testNegativeChunkLength/0,hdgf,4
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testNegativeChunkLength/0,fs,4
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testNegativeChunkLength/0,_dgTests,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testV6NonUtf16LE/0,textExtractor,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testV6NonUtf16LE/0,hdgf,3
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testV6NonUtf16LE/0,fs,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testV6NonUtf16LE/0,_dgTests,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testUtf16LE/0,textExtractor,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testUtf16LE/0,hdgf,3
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testUtf16LE/0,fs,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testUtf16LE/0,_dgTests,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,tearDown/0,textExtractor,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,tearDown/0,hdgf,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testTrailer/0,trailer,0
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testTrailer/0,getPointedToStreams,0
