file,class,method,constructor,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testCreate/0,false,50,2,1,0,3,0,0,0,50,0,0,0,0,0,0,1,0,0,0,0,0,10,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testV5/0,false,109,4,1,6,8,0,1,0,109,0,0,0,0,4,0,4,0,0,0,0,0,25,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,DISABLEDtestAIOOB/0,false,101,3,1,2,5,0,0,0,101,0,0,0,0,1,0,2,0,0,0,0,0,41,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testNegativeChunkLength/0,false,83,3,1,2,8,0,0,0,83,0,0,0,0,2,0,4,0,0,0,0,0,34,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testV6NonUtf16LE/0,false,122,4,1,6,8,0,1,0,122,0,0,0,0,4,0,4,0,0,0,0,0,29,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testUtf16LE/0,false,135,4,1,5,8,0,1,0,135,0,0,0,0,2,0,4,0,0,0,0,0,30,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,tearDown/0,false,44,1,3,1,4,0,0,0,44,0,2,0,0,0,0,0,0,0,0,0,0,7,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testTrailer/0,false,55,4,1,7,15,0,2,0,55,0,0,0,0,0,7,3,0,0,0,0,0,19,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,setUp/0,false,40,2,1,1,3,0,0,0,40,0,0,0,0,1,0,1,0,0,0,0,0,11,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBugs.java,org.apache.poi.hdgf.streams.TestStreamBugs,testGetChildren/0,false,70,6,6,5,23,0,7,0,70,3,0,0,0,0,1,7,0,2,0,0,0,15,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBugs.java,org.apache.poi.hdgf.streams.TestStreamBugs,testOpen/0,false,106,2,1,1,3,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,11,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBugs.java,org.apache.poi.hdgf.streams.TestStreamBugs,TOIMPLEMENTtestGetCertainChunks/0,false,64,0,1,0,4,0,2,0,64,0,0,0,0,1,2,2,0,0,0,0,0,15,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBugs.java,org.apache.poi.hdgf.streams.TestStreamBugs,setUp/0,false,43,4,1,5,10,0,2,0,43,0,0,0,0,2,2,6,0,0,0,0,0,21,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBugs.java,org.apache.poi.hdgf.streams.TestStreamBugs,testGetTrailer/0,false,58,2,1,2,4,0,1,0,58,0,0,0,0,0,1,1,0,0,0,0,0,5,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testChunkWithText/0,false,224,6,3,17,34,0,7,0,224,1,0,0,0,7,23,9,0,2,0,0,0,27,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,setUp/0,false,47,4,1,6,11,0,3,0,47,0,0,0,0,2,2,6,0,0,0,0,0,21,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testChunks/0,false,89,5,1,10,13,0,5,0,89,0,0,0,0,0,1,5,0,0,0,0,0,17,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testTrailer/0,false,67,4,1,10,15,0,3,0,67,0,0,0,0,0,10,3,0,0,0,0,0,20,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testTrailerContents/0,false,172,5,1,9,31,0,6,0,172,0,0,0,0,0,18,6,0,0,0,0,0,20,1
