file,class,method,variable,usage
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testV5/0,text,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testV6NonUtf16LE/0,text,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testUtf16LE/0,text,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testTrailer/0,trailer,6
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFCore.java,org.apache.poi.hdgf.TestHDGFCore,testTrailer/0,ps8,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBugs.java,org.apache.poi.hdgf.streams.TestStreamBugs,testGetChildren/0,trailer,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBugs.java,org.apache.poi.hdgf.streams.TestStreamBugs,testGetChildren/0,cStream,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBugs.java,org.apache.poi.hdgf.streams.TestStreamBugs,testGetChildren/0,ptrs,3
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBugs.java,org.apache.poi.hdgf.streams.TestStreamBugs,testGetChildren/0,trailerPointer,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBugs.java,org.apache.poi.hdgf.streams.TestStreamBugs,testGetChildren/0,pStream,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBugs.java,org.apache.poi.hdgf.streams.TestStreamBugs,testGetChildren/0,stream,5
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBugs.java,org.apache.poi.hdgf.streams.TestStreamBugs,testGetChildren/0,ptr,5
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBugs.java,org.apache.poi.hdgf.streams.TestStreamBugs,TOIMPLEMENTtestGetCertainChunks/0,offsetB,0
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBugs.java,org.apache.poi.hdgf.streams.TestStreamBugs,TOIMPLEMENTtestGetCertainChunks/0,offsetA,0
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBugs.java,org.apache.poi.hdgf.streams.TestStreamBugs,setUp/0,is2,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBugs.java,org.apache.poi.hdgf.streams.TestStreamBugs,setUp/0,is,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBugs.java,org.apache.poi.hdgf.streams.TestStreamBugs,testGetTrailer/0,trailerPointer,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testChunkWithText/0,cs,8
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testChunkWithText/0,ps7194,3
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testChunkWithText/0,i,3
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testChunkWithText/0,trailerPtr,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testChunkWithText/0,text,7
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testChunkWithText/0,hasText,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testChunkWithText/0,ts,8
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,setUp/0,is2,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,setUp/0,is,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,setUp/0,filesystem,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testChunks/0,cs,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testChunks/0,chunkPtr,4
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testChunks/0,stream,3
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testChunks/0,trailerPtr,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testChunks/0,ts,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testTrailer/0,stream,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testTrailer/0,trailerPtr,3
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testTrailer/0,ts,7
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testTrailerContents/0,s845,4
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testTrailerContents/0,s8,4
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testTrailerContents/0,s8451,4
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testTrailerContents/0,trailerPtr,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testTrailerContents/0,s84,4
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testTrailerContents/0,ts,11
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testStrings/0,stream,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testStrings/0,stringPtr,4
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testStrings/0,trailerPtr,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testStrings/0,ts,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testPointerToStrings/0,ptr4312,7
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testPointerToStrings/0,ptr347f,6
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testPointerToStrings/0,ptr44d3,2
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testPointerToStrings/0,s44d3,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamComplex.java,org.apache.poi.hdgf.streams.TestStreamComplex,testPointerToStrings/0,s4312,8
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBasics.java,org.apache.poi.hdgf.streams.TestStreamBasics,testCompressedStream/0,ss,4
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBasics.java,org.apache.poi.hdgf.streams.TestStreamBasics,testCompressedStream/0,stream,5
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBasics.java,org.apache.poi.hdgf.streams.TestStreamBasics,testCompressedStream/0,i,4
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBasics.java,org.apache.poi.hdgf.streams.TestStreamBasics,testCompressedStream/0,ptr,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBasics.java,org.apache.poi.hdgf.streams.TestStreamBasics,testUncompressedStream/0,stream,4
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBasics.java,org.apache.poi.hdgf.streams.TestStreamBasics,testUncompressedStream/0,ptr,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/StreamTest.java,org.apache.poi.hdgf.streams.StreamTest$TestPointer,"TestPointer/5[boolean,int,int,int,short]",offset,1
/projects3/poi/src/scratchpad/testcases/org/apache/poi/hdgf/streams/StreamTest.java,org.apache.poi.hdgf.streams.StreamTest$TestPointer,"TestPointer/5[boolean,int,int,int,short]",length,1
