file,class,method,variable,usage
/projects3/poi/src/testcases/org/apache/poi/ddf/TestEscherBSERecord.java,org.apache.poi.ddf.TestEscherBSERecord,testFillFields/0,r,0
/projects3/poi/src/testcases/org/apache/poi/ddf/TestEscherBSERecord.java,org.apache.poi.ddf.TestEscherBSERecord,testFillFields/0,length,0
/projects3/poi/src/testcases/org/apache/poi/ddf/TestEscherBSERecord.java,org.apache.poi.ddf.TestEscherBSERecord,testFillFields/0,getRemainingData,0
/projects3/poi/src/testcases/org/apache/poi/ddf/TestEscherContainerRecord.java,org.apache.poi.ddf.TestEscherContainerRecord,testBug44857/0,_samples,1
/projects3/poi/src/testcases/org/apache/poi/ddf/TestUnknownEscherRecord.java,org.apache.poi.ddf.TestUnknownEscherRecord,testFillFields/0,r,0
/projects3/poi/src/testcases/org/apache/poi/ddf/TestUnknownEscherRecord.java,org.apache.poi.ddf.TestUnknownEscherRecord,testFillFields/0,length,0
/projects3/poi/src/testcases/org/apache/poi/ddf/TestUnknownEscherRecord.java,org.apache.poi.ddf.TestUnknownEscherRecord,testFillFields/0,getData,0
/projects3/poi/src/testcases/org/apache/poi/ddf/TestEscherDggRecord.java,org.apache.poi.ddf.TestEscherDggRecord,testFillFields/0,r,0
/projects3/poi/src/testcases/org/apache/poi/ddf/TestEscherDggRecord.java,org.apache.poi.ddf.TestEscherDggRecord,testFillFields/0,getFileIdClusters,0
/projects3/poi/src/testcases/org/apache/poi/ddf/TestEscherDggRecord.java,org.apache.poi.ddf.TestEscherDggRecord,testFillFields/0,length,0
/projects3/poi/src/testcases/org/apache/poi/ddf/TestEscherDump.java,org.apache.poi.ddf.TestEscherDump,testSimple/0,stream,3
/projects3/poi/src/testcases/org/apache/poi/ddf/TestEscherDump.java,org.apache.poi.ddf.TestEscherDump,testSimple/0,dumper,3
/projects3/poi/src/testcases/org/apache/poi/ddf/TestEscherDump.java,org.apache.poi.ddf.TestEscherDump,testSimple/0,recordData,1
/projects3/poi/src/testcases/org/apache/poi/ddf/TestEscherDump.java,org.apache.poi.ddf.TestEscherDump,testSimple/0,baos,2
/projects3/poi/src/testcases/org/apache/poi/ddf/TestEscherDump.java,org.apache.poi.ddf.TestEscherDump,testCopy/0,recordData,1
/projects3/poi/src/testcases/org/apache/poi/ddf/TestEscherDump.java,org.apache.poi.ddf.TestEscherDump,testWithData/0,stream,1
/projects3/poi/src/testcases/org/apache/poi/ddf/TestEscherDump.java,org.apache.poi.ddf.TestEscherDump,testWithData/0,dumper,1
/projects3/poi/src/testcases/org/apache/poi/ddf/TestEscherDump.java,org.apache.poi.ddf.TestEscherDump,setup/0,stream,1
/projects3/poi/src/testcases/org/apache/poi/ddf/TestEscherDump.java,org.apache.poi.ddf.TestEscherDump,setup/0,baos,1
/projects3/poi/src/testcases/org/apache/poi/ddf/TestEscherDump.java,org.apache.poi.ddf.TestEscherDump,testWithSamplefile/0,stream,2
