file,class,method,variable,usage
/projects3/poi/src/testcases/org/apache/poi/POITestCase.java,org.apache.poi.POITestCase,"assertContains/3[java.lang.String,java.lang.String,java.lang.String]",haystack,2
/projects3/poi/src/testcases/org/apache/poi/POITestCase.java,org.apache.poi.POITestCase,"assertContains/3[java.lang.String,java.lang.String,java.lang.String]",message,3
/projects3/poi/src/testcases/org/apache/poi/POITestCase.java,org.apache.poi.POITestCase,"assertContains/3[java.lang.String,java.lang.String,java.lang.String]",needle,2
/projects3/poi/src/testcases/org/apache/poi/POITestCase.java,org.apache.poi.POITestCase,"getFieldValue/4[java.lang.Class<? super T>,T,java.lang.Class<R>,java.lang.String]",instance,1
/projects3/poi/src/testcases/org/apache/poi/POITestCase.java,org.apache.poi.POITestCase,"getFieldValue/4[java.lang.Class<? super T>,T,java.lang.Class<R>,java.lang.String]",fieldName,2
/projects3/poi/src/testcases/org/apache/poi/POITestCase.java,org.apache.poi.POITestCase,"getFieldValue/4[java.lang.Class<? super T>,T,java.lang.Class<R>,java.lang.String]",pae,1
/projects3/poi/src/testcases/org/apache/poi/POITestCase.java,org.apache.poi.POITestCase,"getFieldValue/4[java.lang.Class<? super T>,T,java.lang.Class<R>,java.lang.String]",f,2
/projects3/poi/src/testcases/org/apache/poi/POITestCase.java,org.apache.poi.POITestCase,"getFieldValue/4[java.lang.Class<? super T>,T,java.lang.Class<R>,java.lang.String]",clazz,3
/projects3/poi/src/testcases/org/apache/poi/POITestCase.java,org.apache.poi.POITestCase,"getFieldValue/4[java.lang.Class<? super T>,T,java.lang.Class<R>,java.lang.String]",fieldType,0
/projects3/poi/src/testcases/org/apache/poi/POITestCase.java,org.apache.poi.POITestCase,"assertContains/2[java.lang.String,java.lang.String]",haystack,2
/projects3/poi/src/testcases/org/apache/poi/POITestCase.java,org.apache.poi.POITestCase,"assertContains/2[java.lang.String,java.lang.String]",needle,2
/projects3/poi/src/testcases/org/apache/poi/POITestCase.java,org.apache.poi.POITestCase,"assertBetween/4[java.lang.String,int,int,int]",min,2
/projects3/poi/src/testcases/org/apache/poi/POITestCase.java,org.apache.poi.POITestCase,"assertBetween/4[java.lang.String,int,int,int]",max,2
/projects3/poi/src/testcases/org/apache/poi/POITestCase.java,org.apache.poi.POITestCase,"assertBetween/4[java.lang.String,int,int,int]",message,2
/projects3/poi/src/testcases/org/apache/poi/POITestCase.java,org.apache.poi.POITestCase,"assertBetween/4[java.lang.String,int,int,int]",value,4
